NAME,POSTCODE,WEBSITE
Aldwark Manor,YO61 1UF,http://www.aldwarkmanorgolfclub.co.uk/
Bedale,Dl8 1EZ,http://www.bedalegolfclub.com/
Billingham,TS22 5NA,http://www.billinghamgolfclub.com/
Bishop Auckland,DL14 8DL,http://www.bagc.co.uk/
Blackwell Grange,DL2 2SA,http://www.blackwellgrangegolf.com/
Boldon,NE36 0PQ,http://boldongolfclub.co.uk/Intro.aspx
Boothferry,DN14 7NG,http://boothferrygolfclub.co.uk/
Catterick,DL9 3QE,http://www.catterickgolfclub.co.uk
Chester-le-Street,DH3 4NS,http://www.clsgolfclub.co.uk/
Cleaveland,TS10 5BJ,https://cleveland-golf-club.com/
Crook,DL15 9AA,http://crookgolfclub.co.uk/
Darlington,DL1 3JD,http://www.darlington-gc.co.uk/
Dinsdale,DL2 1DWh,http://www.dinsdalespagolfclub.co.uk/
Drax,YO8 8PJ,https://www.draxgolfclub.com/
Easingwold,YO61 3ET,http://www.easingwoldgolfclub.co.uk/
Filey,YO14 9BQ,http://www.fileygolfclub.com/
Forest Park,YO32 9WD,http://www.forestparkgolfclub.co.uk/
Garesfield,NE17 7AP,http://www.garesfieldgolfclub.co.uk/
Google,AA12 2ZZ,http://www.google.co.uk/
Houghton-le-Spring,DH5 8LU,http://www.houghtongolfclub.co.uk/
Hunley,TS12 2FT,http://www.hunleyhotel.co.uk/
Kirkbymoorside,YO62 6EG,http://www.kirkbymoorsidegolf.co.uk/
Malton & Norton,YO17 9QE,http://www.maltonandnortongolfclub.co.uk/
Oakdale,HG1 2LN,http://www.oakdalegolfclub.co.uk/
Oakleaf,DL5 6QZ,http://www.great-aycliffe.gov.uk/oakleafgolfcomplex/home/
Parklands,NE3 5HP,http://parklandsgolf.co.uk/
Prudhoe,NE42 5DX,http://www.prudhoegolfclub.co.uk/
Ravensworth,NE9 7NE,http://www.ravensworthgolfclub.co.uk/
Richmond (Yorkshire),DL10 5EX,http://www.richmondyorksgolfclub.co.uk/
Ripon City,HG4 3HH,http://www.riponcitygolfclub.com/
Roseberry Grange,DH2 3NF,http://www.roseberrygrange.com/
Rudding Park,HG3 1JH,https://www.ruddingpark.co.uk/play/
Scarborough North Cliff,YO12 6PP,http://www.northcliffgolfclub.com/
Seaham,SR7 7UT,http://www.seahamgolfclub.co.uk/
South Moor,DH9 6AS,http://www.southmoorgc.co.uk/
Stocksfield,NE43 7RE,https://www.stocksfieldgolfclub.co.uk/
Teesside,TS17 7JS,https://www.teessidegolfclub.com/
The KP Club,YO42 1UF,http://www.thekp.co.uk/golf
Thirsk & Northallerton,YO7 4AB,http://www.tngc.co.uk/
Wearside,SR4 9JT,http://www.wearsidegc.co.uk/
Wetherby,LS22 4JF,http://www.wetherbygolfclub.co.uk/
Whitby,YO21 3JL,http://whitbygolfclub.info/
